model,metric_name,mol_prop,task,p_value,stats_method
molbert,Precision_PPV,MDR1,cutoff6,0.537722120370485,wilcoxon
molbert,Precision_PPV,MDR1,cutoff6,0.387450122325546,ttest_ind
molbert,Precision_PPV,MDR1,cutoff6,0.47334655725844954,ranksums
molbert,Precision_NPV,MDR1,cutoff6,0.8044701157900663,ttest_rel
molbert,Precision_NPV,MDR1,cutoff6,0.4048347221574208,wilcoxon
molbert,Precision_NPV,MDR1,cutoff6,0.817546870484988,ttest_ind
molbert,Precision_NPV,MDR1,cutoff6,0.31118764341027494,ranksums
molbert,AUROC,CYP3A4,cutoff6,0.32985960463092256,ttest_rel
molbert,AUROC,CYP3A4,cutoff6,0.25364409754600126,wilcoxon
molbert,AUROC,CYP3A4,cutoff6,0.3018509404655238,ttest_ind
molbert,AUROC,CYP3A4,cutoff6,0.2804704772772293,ranksums
molbert,AUPRC,CYP3A4,cutoff6,0.13066439375222463,ttest_rel
molbert,AUPRC,CYP3A4,cutoff6,0.05446250397189108,wilcoxon
molbert,AUPRC,CYP3A4,cutoff6,0.1674511773644662,ttest_ind
molbert,AUPRC,CYP3A4,cutoff6,0.04594508834688344,ranksums
molbert,Precision_PPV,CYP3A4,cutoff6,0.28212519773447486,ttest_rel
molbert,Precision_PPV,CYP3A4,cutoff6,0.18713823424020604,wilcoxon
molbert,Precision_PPV,CYP3A4,cutoff6,0.35277034743828484,ttest_ind
molbert,Precision_PPV,CYP3A4,cutoff6,0.02415688464281263,ranksums
molbert,Precision_NPV,CYP3A4,cutoff6,0.5878269408931124,ttest_rel
molbert,Precision_NPV,CYP3A4,cutoff6,0.5235489109355372,wilcoxon
molbert,Precision_NPV,CYP3A4,cutoff6,0.5906857282863499,ttest_ind
molbert,Precision_NPV,CYP3A4,cutoff6,0.2170168245486217,ranksums
molbert,AUROC,CYP2D6,cutoff6,0.5058241571686348,ttest_rel
molbert,AUROC,CYP2D6,cutoff6,0.47794743855272326,wilcoxon
molbert,AUROC,CYP2D6,cutoff6,0.5220459570729031,ttest_ind
molbert,AUROC,CYP2D6,cutoff6,0.7061714882812296,ranksums
molbert,AUPRC,CYP2D6,cutoff6,,ttest_rel
molbert,AUPRC,CYP2D6,cutoff6,0.049498046027749744,wilcoxon
molbert,AUPRC,CYP2D6,cutoff6,,ttest_ind
molbert,AUPRC,CYP2D6,cutoff6,0.6151959787448548,ranksums
molbert,Precision_PPV,CYP2D6,cutoff6,0.4513262803736826,ttest_rel
molbert,Precision_PPV,CYP2D6,cutoff6,0.9093510601128354,wilcoxon
molbert,Precision_PPV,CYP2D6,cutoff6,0.4161056381454913,ttest_ind
molbert,Precision_PPV,CYP2D6,cutoff6,0.7562013389413471,ranksums
molbert,Precision_NPV,CYP2D6,cutoff6,0.9825003422543392,ttest_rel
molbert,Precision_NPV,CYP2D6,cutoff6,0.8450804241615161,wilcoxon
molbert,Precision_NPV,CYP2D6,cutoff6,0.9819233778781686,ttest_ind
molbert,Precision_NPV,CYP2D6,cutoff6,0.8418014501581275,ranksums
molbert,AUROC,MOR,cutoff6,0.11081431448594038,ttest_rel
molbert,AUROC,MOR,cutoff6,0.11560818762398352,wilcoxon
molbert,AUROC,MOR,cutoff6,0.08935725318113444,ttest_ind
molbert,AUROC,MOR,cutoff6,0.19324837891878444,ranksums
molbert,AUPRC,MOR,cutoff6,0.08564617245897811,ttest_rel
molbert,AUPRC,MOR,cutoff6,0.0858958258699641,wilcoxon
molbert,AUPRC,MOR,cutoff6,0.08299621153099102,ttest_ind
molbert,AUPRC,MOR,cutoff6,0.024625161703711002,ranksums
molbert,Precision_PPV,MOR,cutoff6,0.6265939295190524,ttest_rel
molbert,Precision_PPV,MOR,cutoff6,0.6583305240881341,wilcoxon
molbert,Precision_PPV,MOR,cutoff6,0.5972895660493945,ttest_ind
molbert,Precision_PPV,MOR,cutoff6,0.8130052876119973,ranksums
molbert,Precision_NPV,MOR,cutoff6,0.7688940461019369,ttest_rel
molbert,Precision_NPV,MOR,cutoff6,0.9099307681587345,wilcoxon
molbert,Precision_NPV,MOR,cutoff6,0.7354403797111959,ttest_ind
molbert,Precision_NPV,MOR,cutoff6,0.7505872315223063,ranksums
molbert,AUROC,DOR,cutoff6,0.00025896220213458235,ttest_rel
molbert,AUROC,DOR,cutoff6,0.0008944300647461546,wilcoxon
molbert,AUROC,DOR,cutoff6,0.00033581926596675123,ttest_ind
molbert,AUROC,DOR,cutoff6,0.0009774894967845592,ranksums
molbert,AUPRC,DOR,cutoff6,0.0007479982909698245,ttest_rel
molbert,AUPRC,DOR,cutoff6,0.0013820358574399946,wilcoxon
molbert,AUPRC,DOR,cutoff6,0.0006439341793181623,ttest_ind
molbert,AUPRC,DOR,cutoff6,0.002322230016116475,ranksums
molbert,Precision_PPV,DOR,cutoff6,0.12907458057545368,ttest_rel
molbert,Precision_PPV,DOR,cutoff6,0.11092566512553104,wilcoxon
molbert,Precision_PPV,DOR,cutoff6,0.15068115942741298,ttest_ind
molbert,Precision_PPV,DOR,cutoff6,0.12597019317097233,ranksums
